label_id,label,date,ticker,source,title,text,url,notes,model_prediction,model_sentiment_score,model_prob_negative,model_prob_neutral,model_prob_positive
L000001,negative,2025-03-24,FBBNK,KAP,FİBABANKA A.Ş. - Özel Durum Açıklaması (Genel),Özel Durum Açıklaması (Genel) Fibabanka A.Ş. Star Et Varlık Finansmanı Fonu Fon Kuruluş İptaline İlişkin Yönetim Kurulu Kararı,https://www.kap.org.tr/tr/Bildirim/1410152,weak_label_negative:cancelled_or_rejected_action,,,,,
L000002,negative,2025-03-24,IEYHO,KAP,IŞIKLAR ENERJİ VE YAPI HOLDİNG A.Ş. - Ortaklık Aleyhine Dava Açılması veya Davaya İlişkin Gelişmeler,Ortaklık Aleyhine Dava Açılması veya Davaya İlişkin Gelişmeler Şirket Aleyhine Dava Açılması,https://www.kap.org.tr/tr/Bildirim/1410509,weak_label_negative:lawsuit_against_company,,,,,
L000003,negative,2025-03-25,ATEKS,KAP,AKIN TEKSTİL A.Ş. - Ortaklık Aleyhine Dava Açılması veya Davaya İlişkin Gelişmeler,Ortaklık Aleyhine Dava Açılması veya Davaya İlişkin Gelişmeler Ortaklık Aleyhine Açılan Dava Hakkında,https://www.kap.org.tr/tr/Bildirim/1411253,weak_label_negative:lawsuit_against_company,,,,,
L000004,negative,2025-03-26,A1YEN,KAP,KARTAL YENİLENEBİLİR ENERJİ ÜRETİM A.Ş. - Kar Payı Dağıtım İşlemlerine İlişkin Bildirim,Kar Payı Dağıtım İşlemlerine İlişkin Bildirim Yönetim Kurulu'nun Kar Payı Dağıtılmamasına İlişkin Teklifi,https://www.kap.org.tr/tr/Bildirim/1412347,weak_label_negative:dividend_not_distributed,,,,,
L000005,negative,2025-03-28,SUNTK,KAP,SUN TEKSTİL SANAYİ VE TİCARET A.Ş. - Hak Kullanım Süreç İptal Bildirimi,Hak Kullanım Süreç İptal Bildirimi,https://www.kap.org.tr/tr/Bildirim/1415296,weak_label_negative:cancelled_or_rejected_action,,,,,
L000006,negative,2025-03-28,SUNTK,KAP,SUN TEKSTİL SANAYİ VE TİCARET A.Ş. - Özel Durum Açıklaması (Genel),Özel Durum Açıklaması (Genel) Pay Geri Alım İptali,https://www.kap.org.tr/tr/Bildirim/1415262,weak_label_negative:cancelled_or_rejected_action,,,,,
L000007,negative,2025-06-20,EMNIS,KAP,EMİNİŞ AMBALAJ SANAYİ VE TİCARET A.Ş. - Özel Durum Açıklaması (Genel),Özel Durum Açıklaması (Genel) Konkordato 43. Taksit Ödemesi,https://www.kap.org.tr/tr/Bildirim/1450600,weak_label_negative:penalty_or_concordat,,,,,
L000008,negative,2025-06-23,MTRYO,KAP,METRO YATIRIM ORTAKLIĞI A.Ş. - Sermaye Artırımı - Azaltımı İşlemlerine İlişkin Bildirim,Sermaye Artırımı - Azaltımı İşlemlerine İlişkin Bildirim Bedelli Sermaye Artırımı Başvurusunun Kurul Tarafından Olumsuz Karşılanması Hakkında,https://www.kap.org.tr/tr/Bildirim/1451100,weak_label_negative:cancelled_or_rejected_action,,,,,
L000009,negative,2025-06-23,PASEU,KAP,PASİFİK EURASİA LOJİSTİK DIŞ TİCARET A.Ş. - Hak Kullanım Süreç İptal Bildirimi,Hak Kullanım Süreç İptal Bildirimi Bedelsiz Sermaye Artırım Başvurusunun Geri Çekilmesi,https://www.kap.org.tr/tr/Bildirim/1451149,weak_label_negative:cancelled_or_rejected_action,,,,,
L000010,negative,2025-06-24,MRSHL,KAP,MARSHALL BOYA VE VERNİK SANAYİİ A.Ş. - Ortaklık Aleyhine Dava Açılması veya Davaya İlişkin Gelişmeler,Ortaklık Aleyhine Dava Açılması veya Davaya İlişkin Gelişmeler Şirketimizin Yönetim Kurulu Kararının İptaline İlişkin Dava Hakkında,https://www.kap.org.tr/tr/Bildirim/1451176,weak_label_negative:lawsuit_against_company,,,,,
L000011,negative,2025-06-24,SEYKM,KAP,SEYİTLER KİMYA SANAYİ A.Ş. - Ortaklık Aleyhine Dava Açılması veya Davaya İlişkin Gelişmeler,Ortaklık Aleyhine Dava Açılması veya Davaya İlişkin Gelişmeler Tazminat Davası Hk,https://www.kap.org.tr/tr/Bildirim/1451499,weak_label_negative:lawsuit_against_company,,,,,
L000012,negative,2025-06-24,SEYKM,KAP,SEYİTLER KİMYA SANAYİ A.Ş. - Ortaklık Aleyhine Dava Açılması veya Davaya İlişkin Gelişmeler,Ortaklık Aleyhine Dava Açılması veya Davaya İlişkin Gelişmeler Marka İhlal Davası Hk,https://www.kap.org.tr/tr/Bildirim/1451498,weak_label_negative:lawsuit_against_company,,,,,
L000013,negative,2025-06-24,TIB,KAP,TÜRKİYE İŞ BANKASI A.Ş. - Ortaklık Aleyhine Dava Açılması veya Davaya İlişkin Gelişmeler,Ortaklık Aleyhine Dava Açılması veya Davaya İlişkin Gelişmeler Bankamıza Açılan Dava Hakkında,https://www.kap.org.tr/tr/Bildirim/1451582,weak_label_negative:lawsuit_against_company,,,,,
L000014,negative,2025-06-25,ALCTL,KAP,ALCATEL LUCENT TELETAŞ TELEKOMÜNİKASYON A.Ş. - Kar Payı Dağıtım İşlemlerine İlişkin Bildirim,Kar Payı Dağıtım İşlemlerine İlişkin Bildirim Kar Payı Dağıtılmamasına İlişkin Teklifin Genel Kurulda Onaylanması Hk.,https://www.kap.org.tr/tr/Bildirim/1451827,weak_label_negative:dividend_not_distributed,,,,,
L000015,negative,2025-06-25,ICUGS,KAP,ICU GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş. - Kar Payı Dağıtım İşlemlerine İlişkin Bildirim,Kar Payı Dağıtım İşlemlerine İlişkin Bildirim 2024 yılında Kar Dağıtılmaması Kararının Genel Kurulda Onaylanması,https://www.kap.org.tr/tr/Bildirim/1451989,weak_label_negative:dividend_not_distributed,,,,,
L000016,negative,2025-06-25,TRILC,KAP,TURK İLAÇ VE SERUM SANAYİ A.Ş. - Kar Payı Dağıtım İşlemlerine İlişkin Bildirim,Kar Payı Dağıtım İşlemlerine İlişkin Bildirim Kar Payı Dağıtılmaması Hususunda Olağan Genel Kurul Neticesi Hakkında.,https://www.kap.org.tr/tr/Bildirim/1451891,weak_label_negative:dividend_not_distributed,,,,,
L000017,negative,2025-06-26,LINK,KAP,LİNK BİLGİSAYAR SİSTEMLERİ YAZILIMI VE DONANIMI SANAYİ VE TİCARET A.Ş. - Hak Kullanım Süreç İptal Bildirimi,Hak Kullanım Süreç İptal Bildirimi Kayıtlı Sermaye Sistemine ilişkin SPK'ya yapılan Başvurunun geri çekilmesi hak.,https://www.kap.org.tr/tr/Bildirim/1452339,weak_label_negative:cancelled_or_rejected_action,,,,,
L000018,negative,2025-06-27,ALARK,KAP,ALARKO HOLDİNG A.Ş. - Diğer Pay İhracı - İptaline İlişkin Bildirim,Diğer Pay İhracı - İptaline İlişkin Bildirim Sermaye Azaltımına İlişkin Yönetim Kurulu Kararı,https://www.kap.org.tr/tr/Bildirim/1452928,weak_label_negative:cancelled_or_rejected_action,,,,,
L000019,negative,2025-09-18,FORMT,KAP,FORMET METAL VE CAM SANAYİ A.Ş. - Ortaklık Aleyhine Dava Açılması veya Davaya İlişkin Gelişmeler,Ortaklık Aleyhine Dava Açılması veya Davaya İlişkin Gelişmeler 2024 yılı Olağan Genel Kurul toplantısının yapılması için açılan temsilci atanması davasının sonuçlanması,https://www.kap.org.tr/tr/Bildirim/1490824,weak_label_negative:lawsuit_against_company,,,,,
L000020,negative,2025-09-18,FORMT,KAP,FORMET METAL VE CAM SANAYİ A.Ş. - Ortaklık Aleyhine Dava Açılması veya Davaya İlişkin Gelişmeler,Ortaklık Aleyhine Dava Açılması veya Davaya İlişkin Gelişmeler Yönetim Kurulu Kararına karşı açılan iptal davası,https://www.kap.org.tr/tr/Bildirim/1490807,weak_label_negative:lawsuit_against_company,,,,,
L000021,negative,2025-09-19,IEYHO,KAP,IŞIKLAR ENERJİ VE YAPI HOLDİNG A.Ş. - Ortaklık Aleyhine Dava Açılması veya Davaya İlişkin Gelişmeler,Ortaklık Aleyhine Dava Açılması veya Davaya İlişkin Gelişmeler Ortaklık aleyhine dava açılması,https://www.kap.org.tr/tr/Bildirim/1491444,weak_label_negative:lawsuit_against_company,,,,,
