label_id,label,date,ticker,source,title,text,url,notes
NEG000001,negative,2025-03-24,FBB,KAP,FİBABANKA A.Ş. - Özel Durum Açıklaması (Genel),Özel Durum Açıklaması (Genel) Fibabanka A.Ş. Star Et Varlık Finansmanı Fonu Fon Kuruluş İptaline İlişkin Yönetim Kurulu Kararı,https://www.kap.org.tr/tr/Bildirim/1410152,weak_label_negative:cancelled_or_rejected_action; human_reviewed
NEG000002,negative,2025-03-24,FBBNK,KAP,FİBABANKA A.Ş. - Özel Durum Açıklaması (Genel),Özel Durum Açıklaması (Genel) Fibabanka A.Ş. Star Et Varlık Finansmanı Fonu Fon Kuruluş İptaline İlişkin Yönetim Kurulu Kararı,https://www.kap.org.tr/tr/Bildirim/1410152,weak_label_negative:cancelled_or_rejected_action; human_reviewed
NEG000003,negative,2025-03-24,IEYHO,KAP,IŞIKLAR ENERJİ VE YAPI HOLDİNG A.Ş. - Ortaklık Aleyhine Dava Açılması veya Davaya İlişkin Gelişmeler,Ortaklık Aleyhine Dava Açılması veya Davaya İlişkin Gelişmeler Şirket Aleyhine Dava Açılması,https://www.kap.org.tr/tr/Bildirim/1410509,weak_label_negative:lawsuit_against_company; human_reviewed
NEG000004,negative,2025-03-25,ATEKS,KAP,AKIN TEKSTİL A.Ş. - Ortaklık Aleyhine Dava Açılması veya Davaya İlişkin Gelişmeler,Ortaklık Aleyhine Dava Açılması veya Davaya İlişkin Gelişmeler Ortaklık Aleyhine Açılan Dava Hakkında,https://www.kap.org.tr/tr/Bildirim/1411253,weak_label_negative:lawsuit_against_company; human_reviewed
NEG000005,negative,2025-03-26,A1YEN,KAP,KARTAL YENİLENEBİLİR ENERJİ ÜRETİM A.Ş. - Kar Payı Dağıtım İşlemlerine İlişkin Bildirim,Kar Payı Dağıtım İşlemlerine İlişkin Bildirim Yönetim Kurulu'nun Kar Payı Dağıtılmamasına İlişkin Teklifi,https://www.kap.org.tr/tr/Bildirim/1412347,weak_label_negative:dividend_not_distributed; human_reviewed
NEG000006,negative,2025-03-28,SUNTK,KAP,SUN TEKSTİL SANAYİ VE TİCARET A.Ş. - Hak Kullanım Süreç İptal Bildirimi,Hak Kullanım Süreç İptal Bildirimi,https://www.kap.org.tr/tr/Bildirim/1415296,weak_label_negative:cancelled_or_rejected_action; human_reviewed
NEG000007,negative,2025-03-28,SUNTK,KAP,SUN TEKSTİL SANAYİ VE TİCARET A.Ş. - Özel Durum Açıklaması (Genel),Özel Durum Açıklaması (Genel) Pay Geri Alım İptali,https://www.kap.org.tr/tr/Bildirim/1415262,weak_label_negative:cancelled_or_rejected_action; human_reviewed
NEG000008,negative,2025-06-20,EMNIS,KAP,EMİNİŞ AMBALAJ SANAYİ VE TİCARET A.Ş. - Özel Durum Açıklaması (Genel),Özel Durum Açıklaması (Genel) Konkordato 43. Taksit Ödemesi,https://www.kap.org.tr/tr/Bildirim/1450600,weak_label_negative:penalty_or_concordat; human_reviewed
NEG000009,negative,2025-06-23,MTRYO,KAP,METRO YATIRIM ORTAKLIĞI A.Ş. - Sermaye Artırımı - Azaltımı İşlemlerine İlişkin Bildirim,Sermaye Artırımı - Azaltımı İşlemlerine İlişkin Bildirim Bedelli Sermaye Artırımı Başvurusunun Kurul Tarafından Olumsuz Karşılanması Hakkında,https://www.kap.org.tr/tr/Bildirim/1451100,weak_label_negative:cancelled_or_rejected_action; human_reviewed
NEG000010,negative,2025-06-23,PASEU,KAP,PASİFİK EURASİA LOJİSTİK DIŞ TİCARET A.Ş. - Hak Kullanım Süreç İptal Bildirimi,Hak Kullanım Süreç İptal Bildirimi Bedelsiz Sermaye Artırım Başvurusunun Geri Çekilmesi,https://www.kap.org.tr/tr/Bildirim/1451149,weak_label_negative:cancelled_or_rejected_action; human_reviewed
