label_id,label,date,ticker,source,title,text,url,notes
POS000001,positive,2025-03-24,AHGAZ,KAP,AHLATCI DOĞAL GAZ DAĞITIM ENERJİ VE YATIRIM A.Ş. - Payların Geri Alınmasına İlişkin Bildirim,Payların Geri Alınmasına İlişkin Bildirim 24.03.2025 Tarihli Pay Geri Alım İşlemleri,https://www.kap.org.tr/tr/Bildirim/1410628,weak_label_positive:share_buyback
POS000002,positive,2025-03-24,ANHYT,KAP,ANADOLU HAYAT EMEKLİLİK A.Ş. - Kar Payı Dağıtım İşlemlerine İlişkin Bildirim,Kar Payı Dağıtım İşlemlerine İlişkin Bildirim Nakit Kar Payı Dağıtım Tarihi,https://www.kap.org.tr/tr/Bildirim/1410695,weak_label_positive:dividend_distribution
POS000003,positive,2025-03-24,HTTBT,KAP,HİTİT BİLGİSAYAR HİZMETLERİ A.Ş. - Yeni İş İlişkisi,Yeni İş İlişkisi Air Montenegro'nun Hitit Bilgisayar Hizmetleri A.Ş.nin yazılım çözümlerini kullanmaya başlaması.,https://www.kap.org.tr/tr/Bildirim/1410149,weak_label_positive:new_business_contract
POS000004,positive,2025-03-24,LKMNH,KAP,LOKMAN HEKİM ENGÜRÜSAĞ SAĞLIK TURİZM EĞİTİM HİZMETLERİ VE İNŞAAT TAAHHÜT A.Ş. - Payların Geri Alınmasına İlişkin Bildirim,Payların Geri Alınmasına İlişkin Bildirim Hisse Geri Alım,https://www.kap.org.tr/tr/Bildirim/1410641,weak_label_positive:share_buyback
POS000005,positive,2025-03-24,PRZMA,KAP,PRİZMA PRES MATBAACILIK YAYINCILIK SANAYİ VE TİCARET A.Ş. - Kar Payı Dağıtım İşlemlerine İlişkin Bildirim,Kar Payı Dağıtım İşlemlerine İlişkin Bildirim Kar Payı Dağıtımına İlişkin Olağan Genel Kurul Kararı,https://www.kap.org.tr/tr/Bildirim/1410424,weak_label_positive:dividend_distribution
POS000006,positive,2025-03-24,RTALB,KAP,RTA LABORATUVARLARI BİYOLOJİK ÜRÜNLER İLAÇ VE MAKİNE SANAYİ TİCARET A.Ş. - Sermaye Artırımı - Azaltımı İşlemlerine İlişkin Bildirim,Sermaye Artırımı - Azaltımı İşlemlerine İlişkin Bildirim Bedelsiz Sermaye Artırımına İlişkin Esas Sözleşme Tescili,https://www.kap.org.tr/tr/Bildirim/1410580,weak_label_positive:capital_bonus_or_ceiling
POS000007,positive,2025-03-25,ACP,KAP,A1 CAPİTAL YATIRIM MENKUL DEĞERLER A.Ş. - Payların Geri Alınmasına İlişkin Bildirim,Payların Geri Alınmasına İlişkin Bildirim 24.03.2025 Tarihli Pay Geri Alım İşlemleri,https://www.kap.org.tr/tr/Bildirim/1411145,weak_label_positive:share_buyback
POS000008,positive,2025-03-25,CEMAS,KAP,ÇEMAŞ DÖKÜM SANAYİ A.Ş. - Kar Payı Dağıtım İşlemlerine İlişkin Bildirim,Kar Payı Dağıtım İşlemlerine İlişkin Bildirim 2024 Yılı Kâr Payı Dağıtımına İlişkin Yönetim Kurulu Kararı,https://www.kap.org.tr/tr/Bildirim/1411283,weak_label_positive:dividend_distribution
POS000009,positive,2025-03-25,HTTBT,KAP,HİTİT BİLGİSAYAR HİZMETLERİ A.Ş. - Kayıtlı Sermaye Tavanı İşlemlerine İlişkin Bildirim,Kayıtlı Sermaye Tavanı İşlemlerine İlişkin Bildirim Kayıtlı Sermaye Tavanı Artırımı ve Geçerlilik Süresi Uzatımı Genel Kurul Onayı,https://www.kap.org.tr/tr/Bildirim/1411437,weak_label_positive:capital_bonus_or_ceiling
POS000010,positive,2025-03-25,LKMNH,KAP,LOKMAN HEKİM ENGÜRÜSAĞ SAĞLIK TURİZM EĞİTİM HİZMETLERİ VE İNŞAAT TAAHHÜT A.Ş. - Payların Geri Alınmasına İlişkin Bildirim,Payların Geri Alınmasına İlişkin Bildirim Hisse Geri Alımı,https://www.kap.org.tr/tr/Bildirim/1411703,weak_label_positive:share_buyback
POS000011,positive,2025-03-25,MIATK,KAP,MİA TEKNOLOJİ A.Ş. - Yeni İş İlişkisi,Yeni İş İlişkisi Güvenlik Teknolojileri Alanında Yeni İş İlişkisi,https://www.kap.org.tr/tr/Bildirim/1411161,weak_label_positive:new_business_contract
POS000012,positive,2025-03-25,TURSG,KAP,TÜRKİYE SİGORTA A.Ş. - Sermaye Artırımı - Azaltımı İşlemlerine İlişkin Bildirim,Sermaye Artırımı - Azaltımı İşlemlerine İlişkin Bildirim Bedelsiz Sermaye Artırımına İlişkin Yönetim Kurulu Kararı,https://www.kap.org.tr/tr/Bildirim/1411170,weak_label_positive:capital_bonus_or_ceiling
POS000013,positive,2025-03-26,ALBRK,KAP,ALBARAKA TÜRK KATILIM BANKASI A.Ş. - Kar Payı Dağıtım İşlemlerine İlişkin Bildirim,Kar Payı Dağıtım İşlemlerine İlişkin Bildirim Kâr Payı Dağıtımına İlişkin Genel Kurul Kararı,https://www.kap.org.tr/tr/Bildirim/1412191,weak_label_positive:dividend_distribution
POS000014,positive,2025-03-26,CVKMD,KAP,CVK MADEN İŞLETMELERİ SANAYİ VE TİCARET A.Ş. - Payların Geri Alınmasına İlişkin Bildirim,Payların Geri Alınmasına İlişkin Bildirim Pay Geri Alım Programının Başlatılması Hk.,https://www.kap.org.tr/tr/Bildirim/1412090,weak_label_positive:share_buyback
POS000015,positive,2025-03-26,EGEEN,KAP,EGE ENDÜSTRİ VE TİCARET A.Ş. - Kar Payı Dağıtım İşlemlerine İlişkin Bildirim,Kar Payı Dağıtım İşlemlerine İlişkin Bildirim 2024 yılı kar payı dağıtımının 26.03.2025 tarihinde gerçekleştirilen Genel Kurul'da görüşülmesi hk.,https://www.kap.org.tr/tr/Bildirim/1412084,weak_label_positive:dividend_distribution
POS000016,positive,2025-03-26,EUPWR,KAP,EUROPOWER ENERJİ VE OTOMASYON TEKNOLOJİLERİ SANAYİ TİCARET A.Ş. - İhale Süreci / Sonucu,İhale Süreci / Sonucu İhale Sonucu Hak.,https://www.kap.org.tr/tr/Bildirim/1412237,weak_label_positive:tender_award
POS000017,positive,2025-03-26,TRHOL,KAP,DAGİ YATIRIM HOLDİNG A.Ş. - Payların Geri Alınmasına İlişkin Bildirim,Payların Geri Alınmasına İlişkin Bildirim 26.03.2025 Tarihli Pay Geri Alım İşlemleri,https://www.kap.org.tr/tr/Bildirim/1412524,weak_label_positive:share_buyback
POS000018,positive,2025-03-27,GESAN,KAP,GİRİŞİM ELEKTRİK SANAYİ TAAHHÜT VE TİCARET A.Ş. - İhale Süreci / Sonucu,İhale Süreci / Sonucu İhale Sonucu Bildirimi,https://www.kap.org.tr/tr/Bildirim/1413169,weak_label_positive:tender_award
