ticker,alias
THYAO,Türk Hava Yolları
THYAO,Turkish Airlines
ASELS,Aselsan
GARAN,Garanti BBVA
EREGL,Ereğli Demir Çelik
SISE,Şişecam
TUPRS,Tüpraş
KCHOL,Koç Holding
BIMAS,BİM
AKBNK,Akbank
KOZAL,Koza Altın
AHGAZ,Ahlatcı Doğal Gaz
AHGAZ,Ahlatcı Dogal Gaz
ALCTL,Alcatel Lucent Teletaş
ALCTL,Alcatel Lucent Teletas
ARCLK,Arçelik
ASTOR,Astor Enerji
BEYAZ,Beyaz Filo
BORSK,Bor Şeker
BORSK,Bor Seker
CCOLA,Coca Cola İçecek
DGRVK,Doğru Varlık Yönetim
DGRVK,Dogru Varlik Yonetim
DOAS,Doğuş Otomotiv
ENKAI,Enka İnşaat
FROTO,Ford Otosan
ISCTR,İş Bankası
MGROS,Migros
MRGYO,Martı GYO
MRGYO,Marti GYO
PETKM,Petkim
PGSUS,Pegasus
SAHOL,Sabancı Holding
SASA,Sasa Polyester
SMART,Smartiks
TAVHL,TAV Havalimanları
TCELL,Turkcell
TOASO,Tofaş
TTKOM,Türk Telekom
ULKER,Ülker
VAKBN,VakıfBank
VAKBN,VakifBank
YKBNK,Yapı Kredi
ZOREN,Zorlu Enerji
