date,ticker,source,title,text,url,language,published_at
2026-05-20,AGHOL,KAP,AG ANADOLU GRUBU HOLDİNG A.Ş. - Ortaklık Aleyhine Dava Açılması veya Davaya İlişkin Gelişmeler,Ortaklık Aleyhine Dava Açılması veya Davaya İlişkin Gelişmeler Genel Kurul Toplantısında alınan bazı kararlara ilişkin dava açılması,https://www.kap.org.tr/tr/Bildirim/1609176,tr,2026-05-20T18:18:16+00:00
2026-05-20,AHGAZ,KAP,AHLATCI DOĞAL GAZ DAĞITIM ENERJİ VE YATIRIM A.Ş. - Payların Geri Alınmasına İlişkin Bildirim,Payların Geri Alınmasına İlişkin Bildirim 20.05.2026 Tarihli Pay Geri Alım İşlemleri,https://www.kap.org.tr/tr/Bildirim/1609193,tr,2026-05-20T18:30:08+00:00
2026-05-20,AKBNK,KAP,AKBANK T.A.Ş. - Pay Dışında Sermaye Piyasası Aracı İşlemlerine İlişkin Bildirim (Faiz İçeren),Pay Dışında Sermaye Piyasası Aracı İşlemlerine İlişkin Bildirim (Faiz İçeren) XS2819114732 ISIN Kodlu Sürdürülebilir Temalı Tahvilin İtfası,https://www.kap.org.tr/tr/Bildirim/1609136,tr,2026-05-20T17:47:10+00:00
2026-05-20,AKCNS,KAP,AKÇANSA ÇİMENTO SANAYİ VE TİCARET A.Ş. - Kayıtlı Sermaye Tavanı İşlemlerine İlişkin Bildirim,Kayıtlı Sermaye Tavanı İşlemlerine İlişkin Bildirim Esas Sözleşme Değişikliği Hakkında Genel Kurul Kararı,https://www.kap.org.tr/tr/Bildirim/1609229,tr,2026-05-20T19:18:58+00:00
2026-05-20,AKCNS,KAP,AKÇANSA ÇİMENTO SANAYİ VE TİCARET A.Ş. - Bağımsız Denetim Kuruluşunun Belirlenmesi,Bağımsız Denetim Kuruluşunun Belirlenmesi Denetçinin Belirlenmesi,https://www.kap.org.tr/tr/Bildirim/1609228,tr,2026-05-20T19:18:41+00:00
2026-05-20,AKCNS,KAP,AKÇANSA ÇİMENTO SANAYİ VE TİCARET A.Ş. - Kar Payı Dağıtım İşlemlerine İlişkin Bildirim,Kar Payı Dağıtım İşlemlerine İlişkin Bildirim Genel Kurul'un Kar Payı Dağıtım Kararı,https://www.kap.org.tr/tr/Bildirim/1609227,tr,2026-05-20T19:18:29+00:00
2026-05-20,AKCNS,KAP,AKÇANSA ÇİMENTO SANAYİ VE TİCARET A.Ş. - Genel Kurul İşlemlerine İlişkin Bildirim,Genel Kurul İşlemlerine İlişkin Bildirim 2025 Yılı Olağan Genel Kurul Toplantı Sonuçları,https://www.kap.org.tr/tr/Bildirim/1609199,tr,2026-05-20T18:39:44+00:00
2026-05-20,DOAS,KAP,DOĞUŞ OTOMOTİV SERVİS VE TİCARET A.Ş. - Kredi Derecelendirmesi,Kredi Derecelendirmesi Kredi Derecelendirme Notu,https://www.kap.org.tr/tr/Bildirim/1609192,tr,2026-05-20T18:30:04+00:00
2026-05-20,GENIL,KAP,GEN İLAÇ VE SAĞLIK ÜRÜNLERİ SANAYİ VE TİCARET A.Ş. - Özel Durum Açıklaması (Genel),Özel Durum Açıklaması (Genel) Devlet Malzeme Ofisi İhale Bildirimi,https://www.kap.org.tr/tr/Bildirim/1609041,tr,2026-05-20T16:40:06+00:00
2026-05-20,HALKB,KAP,TÜRKİYE HALK BANKASI A.Ş. - Özel Durum Açıklaması (Genel),Özel Durum Açıklaması (Genel) Yabancı Kaynak Temini,https://www.kap.org.tr/tr/Bildirim/1609155,tr,2026-05-20T18:06:19+00:00
2026-05-20,ISMEN,KAP,İŞ YATIRIM MENKUL DEĞERLER A.Ş. - Yatırım Kuruluşu Varant - Sertifika - Senetlerine İlişkin Bildirim,Yatırım Kuruluşu Varant - Sertifika - Senetlerine İlişkin Bildirim Yatırım Kuruluşu Varantları İlk Satış Fiyatları,https://www.kap.org.tr/tr/Bildirim/1609252,tr,2026-05-20T20:15:35+00:00
2026-05-20,ISMEN,KAP,İŞ YATIRIM MENKUL DEĞERLER A.Ş. - İzahname-Özet (SPK Tarafından Onaylanan),İzahname-Özet (SPK Tarafından Onaylanan) İş Yatırım Varant İhracı,https://www.kap.org.tr/tr/Bildirim/1609183,tr,2026-05-20T18:21:11+00:00
