date,ticker,source,title,text,url,language,published_at
2026-01-03,BIMAS,KAP,BİM BİRLEŞİK MAĞAZALAR A.Ş. - Esas Sözleşme Tadili,Esas Sözleşme Tadili Güncel Esas Sözleşme,https://www.kap.org.tr/tr/Bildirim/1532563,tr,2026-01-03T11:06:02+00:00
2026-01-03,TOASO,KAP,TOFAŞ TÜRK OTOMOBİL FABRİKASI A.Ş. - Şirket Genel Bilgi Formu,Şirket Genel Bilgi Formu,https://www.kap.org.tr/tr/Bildirim/1532565,tr,2026-01-03T17:52:55+00:00
2026-01-05,AEFES,KAP,ANADOLU EFES BİRACILIK VE MALT SANAYİİ A.Ş. - Şirket Genel Bilgi Formu,Şirket Genel Bilgi Formu,https://www.kap.org.tr/tr/Bildirim/1533013,tr,2026-01-05T17:58:12+00:00
2026-01-05,AKBNK,KAP,AKBANK T.A.Ş. - Pay Dışında Sermaye Piyasası Aracı İşlemlerine İlişkin Bildirim (Faiz İçeren),Pay Dışında Sermaye Piyasası Aracı İşlemlerine İlişkin Bildirim (Faiz İçeren) XS2948599340 ISIN Kodlu Sürdürülebilir Temalı Tahvilin İtfası,https://www.kap.org.tr/tr/Bildirim/1532934,tr,2026-01-05T17:13:13+00:00
2026-01-05,AKCNS,KAP,AKÇANSA ÇİMENTO SANAYİ VE TİCARET A.Ş. - Şirket Genel Bilgi Formu,Şirket Genel Bilgi Formu,https://www.kap.org.tr/tr/Bildirim/1532639,tr,2026-01-05T11:02:25+00:00
2026-01-05,ARCLK,KAP,ARÇELİK A.Ş. - Pay Dışında Sermaye Piyasası Aracı İşlemlerine İlişkin Bildirim (Faiz İçeren),Pay Dışında Sermaye Piyasası Aracı İşlemlerine İlişkin Bildirim (Faiz İçeren) TRSARCL42610 ISIN kodlu Tahvilin Kupon Ödemesi,https://www.kap.org.tr/tr/Bildirim/1533059,tr,2026-01-05T18:17:14+00:00
2026-01-05,BIMAS,KAP,BİM BİRLEŞİK MAĞAZALAR A.Ş. - Esas Sözleşme,Esas Sözleşme Güncel Esas Sözleşme,https://www.kap.org.tr/tr/Bildirim/1532906,tr,2026-01-05T16:57:42+00:00
2026-01-05,DOAS,KAP,DOĞUŞ OTOMOTİV SERVİS VE TİCARET A.Ş. - Özel Durum Açıklaması (Genel),Özel Durum Açıklaması (Genel) Bağımsız Yönetim Kurulu Üyelerinin Görev Süreleri Hakkında,https://www.kap.org.tr/tr/Bildirim/1533132,tr,2026-01-05T18:30:13+00:00
2026-01-05,HALKB,KAP,TÜRKİYE HALK BANKASI A.Ş. - Şirket Genel Bilgi Formu,Şirket Genel Bilgi Formu,https://www.kap.org.tr/tr/Bildirim/1533023,tr,2026-01-05T18:07:47+00:00
2026-01-05,ISMEN,KAP,İŞ YATIRIM MENKUL DEĞERLER A.Ş. - Piyasa Yapıcılığı Kapsamında Gerçekleştirilen İşlemler Bildirimi,Piyasa Yapıcılığı Kapsamında Gerçekleştirilen İşlemler Bildirimi Borsa Yatırım Fonu Piyasa Yapıcılığı İşlemleri ISGLK,https://www.kap.org.tr/tr/Bildirim/1532688,tr,2026-01-05T13:19:53+00:00
