event_id,tickers,primary_ticker,title,event_type,market_scope,news_count,avg_impact_score,confidence,materiality_score,signal_direction,signal_strength,reason,url,priority_score,priority_reason
8d392408293d,IEYHO,IEYHO,IŞIKLAR ENERJİ VE YAPI HOLDİNG A.Ş. - Ortaklık Aleyhine Dava Açılması veya Davaya İlişkin Gelişmeler,legal_regulatory,stock_specific,1,-0.9091,0.9378,0.8775,negative,strong,negative; strong; legal_regulatory; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1623169,84,aksiyon=takip et; guc=guclu; onem=0.88; gecmis=gecmis veri az
dbb8b5d2e51f,KAREL,KAREL,KAREL ELEKTRONİK SANAYİ VE TİCARET A.Ş. - Yeni İş İlişkisi,contract_order,stock_specific,1,0.8336,0.8705,0.7926,positive,strong,positive; strong; contract_order; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1622941,79,aksiyon=takip et; guc=guclu; onem=0.79; gecmis=gecmis veri az
809442fe6187,SMRTG,SMRTG,SMART GÜNEŞ ENERJİSİ TEKNOLOJİLERİ ARAŞTIRMA GELİŞTİRME ÜRETİM SANAYİ VE TİCARET A.Ş. - Yeni İş İlişkisi,contract_order,stock_specific,1,0.7976,0.8447,0.7676,positive,strong,positive; strong; contract_order; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1622940,74,aksiyon=takip et; guc=guclu; onem=0.77; gecmis=gecmise gore olagan
56c87de154d1,ENERY,ENERY,ENERYA ENERJİ A.Ş. - Payların Geri Alınmasına İlişkin Bildirim,other,stock_specific,1,0.8619,0.9049,0.745,positive,medium,positive; medium; other; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1623299,68,aksiyon=detay kontrol et; guc=orta; onem=0.74; gecmis=gecmise gore olagan
12ec2f4ff275,AHGAZ,AHGAZ,AHLATCI DOĞAL GAZ DAĞITIM ENERJİ VE YATIRIM A.Ş. - Payların Geri Alınmasına İlişkin Bildirim,other,stock_specific,1,0.8284,0.8764,0.7209,positive,medium,positive; medium; other; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1623296,66,aksiyon=detay kontrol et; guc=orta; onem=0.72; gecmis=gecmise gore olagan
f397a83d8a3b,MANAS,MANAS,MANAS ENERJİ YÖNETİMİ SANAYİ VE TİCARET A.Ş. - Kar Payı Dağıtım İşlemlerine İlişkin Bildirim,management,stock_specific,1,0.774,0.866,0.7089,positive,medium,positive; medium; management; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1623041,66,aksiyon=detay kontrol et; guc=orta; onem=0.71; gecmis=gecmis veri az
be3312821f46,BOSSA,BOSSA,BOSSA TİCARET VE SANAYİ İŞLETMELERİ T.A.Ş. - Payların Geri Alınmasına İlişkin Bildirim,other,stock_specific,1,0.7677,0.8217,0.6766,positive,medium,positive; medium; other; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1622844,65,aksiyon=detay kontrol et; guc=orta; onem=0.68; gecmis=gecmis veri az
aeb2c163bb61,SASA,SASA,SASA POLYESTER SANAYİ A.Ş. - Sermaye Artırımı - Azaltımı İşlemlerine İlişkin Bildirim,legal_regulatory,stock_specific,1,0.5037,0.6226,0.5916,positive,medium,positive; medium; legal_regulatory; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1622784,60,aksiyon=detay kontrol et; guc=orta; onem=0.59; gecmis=gecmise gore dikkat cekici
582410d28492,BALSU,BALSU,BALSU GIDA SANAYİ VE TİCARET A.Ş. - Sermaye Artırımı - Azaltımı İşlemlerine İlişkin Bildirim,capital_action,stock_specific,1,0.4244,0.5223,0.5179,positive,medium,positive; medium; capital_action; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1623181,50,aksiyon=detay kontrol et; guc=orta; onem=0.52; gecmis=gecmis veri az
f6f401838d8d,"HDFYB,HYB",HDFYB,HEDEF YATIRIM BANKASI A.Ş. - Özel Durum Açıklaması (Genel),debt_credit,multi_stock,2,-0.2553,0.3725,0.5103,negative,medium,negative; medium; debt_credit; multi_stock; 2 haber,https://www.kap.org.tr/tr/Bildirim/1623297,46,aksiyon=detay kontrol et; guc=orta; onem=0.51; gecmis=gecmis veri az
